question,answer
How can I travel to Linz?,"senger boat service on the Danube from and to Vienna and Passau, Germany. Get around Linz has very good public transport. A map of the tram and bus lines as well as an online time table are available on the website of the network operator Linz AG. A one-day ticket is EUR6 for over 14-year-olds, and EUR3 for under 14-year-olds. There is also a 4-stop ticket (mini-ticket) for EUR1.50. Tickets are purchased from the electronic vending machines at each stop, as well as tobacco and newspaper shops. Linz Card The Linz Card (1-day: EUR16, 3-day: EUR35) provides unlimited public transport through the city, and free or discounted admission to two dozen museums, galleries and tours. It is available at the Tourist Office and in many hotels. Reduced price (1 day: EUR15/ 3-day: EUR33) for children, students under 26, and those who have a valid train ticket (OBB, Westbahn) with destination Linz. See When strolling through the heart of the city, one can literally sense its history. The lanes of the old town, which lies directly at the foot of the castle, communicate the feeling of past ages."
What can I do in Puerto Rico?,"Things to do: ather by address and using maps in Puerto Rico can be very challenging for visitors. Google Maps has lately been improving and now most small roads and all major roads are covered. Slight problems include street names either missing or incorrect, and address lookups & business entries (POI's) either give no result or are wrong. Other online maps suffer the same issues. Note that the larger metro areas, especially San Juan, can have several streets with the same name, so it's important to know the neighborhood (urbanization) name when communicating with taxi drivers, etc. Police cars are easy to spot, as by local regulation, they must keep their blue light bar continuously illuminated any time they are in motion. Avoid getting a speeding ticket: fines start at $50 + $5 for each mile above the speed limit. It is also against the law to talk or text on a phone while driving, except when using BlueTooth or a speakerphone. The fine for talking or texting on the phone is $50. Due to the limitations of public transport in San Juan and the metropolitan area, getting around by car is by far"
How can I travel to Malaria?,"t not be worth the risk of side effects. However, malaria can incapacitate a person within hours, so if only one person can drive a car, prophylaxis should be considered for them. Any malaria prophylaxis must be taken before, during, and (especially) after travelling to a malaria-risk zone. Anti-malarial drugs are highly effective in preventing malaria. Different drugs are recommended for travel to different areas due to malarial strains resistant to certain drugs. Talk to a specialist doctor or verify the information with a reliable source. As with all drugs, anti-malarials may cause side-effects. Seldom will malaria be the sole health concern, and the physician will need to assess all the health risks the traveller will face. Obtain medications from a reliable source, either at home before you leave or from a reliable chemist/pharmacist in a high-end or tourist area. Sometimes, the pills sold might be placebos. Medical prophylaxis that contains mefloquine can have serious psychological and neurological side effects (anxiety, headaches, insomnia, dizziness) that incapacitates abou"
What is Mapimi famous for?,"Mapimi is a small, once thriving mining community in the northwestern state of Durango. The town was largely abandoned in the early 20th century as the mineral deposits were exhausted, and today is largely a ghost town with a remaining population of about 5,000. It is one of the designated sites on the Camino Real de Tierra Adentro (a ) and has been designated a Pueblo Magico by the government's ministry of tourism (SECTUR). Understand Get in The nearest airport with commercial flights is Torreon International Airport (). From there, you can rent a car and drive to Mapimi. Torreon is also the hub for bus transportation in the region. Buses from Torreon can be used as far as Bermejillo, but no direct bus service is available to Mapimi. A taxi from Bermejillo to Mapimi will cost about M$300. Mapimi is best reached by car via the Torreon/Gomez Palacios area. From the Torreon Airport, drive north on Calle a San Pedro for about 1 km until you come to a major overpass, this is Lib. de Torreon. Go under the overpass and turn left onto the feeder road, then merge into the main lanes hea"
What can I do in Slovak Paradise National Park?,"Things to do: lway stations to Podlesok and Hrabusice pila, these buses generally run Saturdays only in June and daily in July and August. Bus numbers 810438 and 810436 - fares and timetables can be found using the CP journey planner. Alternatively buses run around every 2 hours to Hrabusice, the nearest stop is Razc.Betlanovce which is around 1.3km (around 15 minute walk) from Podlesok. Note that many journey planners (including CP) show the in the wrong place. It is actually located on the eastern end of the triangular junction - and there is actually an unrelated shelter on the southern end. Fees and permits You need to obtain a permit on entrance to the national park. These cost EUR1.50 for 1 day, EUR3.50 for 3 days and EUR5 for 6 days, multi day permits are only valid for consecutive dates. Get around On foot - most of the gorge walks all run uphill only with the notable exception of the Prielom Hornadu (blue on map) which runs in both directions. At Klastorisko and near the top of the Green trail from Podlesok, at the Sucha Bela crossroads there's a . Bikes are carried up on trailers at"
Describe Turkey.,"ith keeping them in a cage-like environment or putting them to sleep. Weather Most of Turkey has hot summers, with extremely hot summers in the southeastern interior, and while no part of Turkey is a desert, be extra careful when going to the south and southeast if you have never been in a hot-summer climate before. Take it easy on the first few days of your vacation. It's always an excellent idea to put extra sunscreen on and avoid alcohol as you get used to the summer heat. However despite stereotypes, Turkey isn't hot all year round. There are harsh winters in the central and especially eastern regions of the country and in the mountains, and the northern parts of Turkey (see Marmara and Black Sea regions) have mild, maritime climates with warm but not hot summers. Natural disasters Most of Turkey is prone to earthquakes. Flash floods are expected in the Black Sea region. Tourism Police There are ""Tourism Police"" sections of the police departments of Ankara, Antalya, Istanbul (in Sultanahmet), and Izmir providing help specifically for tourists, where travellers can report passp"
What is A seaside stroll in Helsinki famous for?,"astside sidewalk for a few hundred meters past the yacht harbor. Before our next stop, keep an eye out for a Finnish summertime institution, namely a seaside (mattolaituri). This is where the good folk of Helsinki come to wash their carpets: running water and drying racks are provided, but you need to bring your own soap, and on a warm summer day the pier will be packed with housewives (and husbands) giving their ryijy rag carpets a good scrubbing. Right after the pier is , the ""Master Stable"", a fairly expensive year-round restaurant with a very popular seaside summer terrace called Meritalli (""Sea Stable""). If you haven't had any refreshments yet, drop in for a pint of cider (around ) and watch the yachts flit about in the bay. Keep on walking along the coast. The building to your left is the , built for the 1952 Olympics. Across the street, the glass-fronted apartment building to your right at Kesakatu is pretty much the only new one built in this part of town since the 1930s and is priced to match, with most apartments selling for upwards of a million euros. Soon, you'll"
What is Jammu and Kashmir famous for?,"ituation, the ruler of Kashmir, Maharaja Hari Singh, requested assistance from India. India agreed to provide military aid under the condition that Kashmir joined India. The maharaja then signed an agreement that made Kashmir a part of India, whereupon Indian troops entered the region and summarily defeated the Pakistani forces. To this date, a large portion of Kashmir is now administered by India, the rest being administered by Pakistan and China. Since the 1980s, insurgent violence has ravaged the region, and the unrest has adversely affected what was one a thriving tourist industry. Perhaps one of the darkest periods of Kashmiri history was when one of the minority groups, the Kashmiri Pandits, were forcefully expelled from Kashmir. To this day, some 300,000 to 600,000 Kashmiri Pandits remain displaced, internally and externally. In August 2019, the Indian government revoked the state's autonomy, drawing strong condemnation from many political parties in the region as well as the government of Pakistan, which responded by downgrading relations with India. Both India and Pakista"
What is Cook Strait ferries famous for?,"abins for rent from $40 per sailing. There are no publicly available cabins on the Aratere and Kaiarahi. Sleeper service Bluebridge offers a Wellington to Picton sleeper service ferry 5-6 nights per week aboard the Straitsman ferry. Check-in for this service closes at 11PM, with ferries departing Wellington at 2:30AM and arriving in Picton at 6AM. Apart from the ticket price and renting a private cabin, there is no extra cost for this service. Connect All ferries offer free WiFi aboard their ferries, with a cap of 500 MB per person on the Interislander ferries. Since the ferries rely on 3G and 4G mobile broadband for internet access, there may be the occasional spots in the Cook Strait where the WiFi isn't working. Stay safe Cook Strait is frequently rough and unpredictable. There have been numerous shipwrecks, including of two ferries: the SS Penguin in 1909 and the TEV Wahine in 1968. More often than not, it's the ferries coming to the rescue of others - in 1985, ferry Aratika was first on the scene to a fatal commuter aircraft crash in the Tory Channel, and in 1986, ferry Ara"
Give me travel tips for Yatsushiro.,"Travel tips: ation is 5 minutes north on the Kagoshima Line, on the outskirts of town, and is the city's station on the Kyushu Shinkansen. Shin-Yatsushiro used to be the northern end of the Shinkansen line, where everyone had to change to a Relay train to Hakata, but since the line was completed in 2011 it has been a little less busy. There is usually one train per hour to each of Kagoshima-Chuo and Hakata, with some of the latter continuing as far as Shin-Osaka. It may be quicker to change at Hakata or Kumamoto. Typical journey times and prices using the Shinkansen to Shin-Yatsushiro are as follows: Kumamoto: 12 minutes and Y=2400 Kagoshima-Chuo: 45 minutes and Y=5480 Hakata: 50 minutes (by Sakura) and Y=5810 Hiroshima: 2 hours and Y=13,580 Shin-Osaka: 3 hrs 40 mins and Y=18,890 JR Kyushu sells a Nimai-kippu, valid for one month, which lets you go to and from Yatsushiro or Shin-Yatsushiro to Hakata (or any JR station in the Fukuoka area) for Y=10,200, which is Y=1420 cheaper than buying two normal tickets. On the JR Kagoshima Line, Kumamoto is 40 minutes and Y=740 away from Yatsushiro."
Give me travel tips for Loei.,"Travel tips: sthouses of Chiang Khan look across the Mekong at Laos. The wooden town, replete with wats, is backed by a mountain topped by a Thai navy lookout surrounded by tamarind trees. A teak plantation on another mountain shades the home of forest monks caring for a temple in a cave. The cafe in the main street sells coffee made with milk from a dairy hidden in the hills. Nearby cotton is teased and netted into quilts. On a beach of coloured pebbles, children run into the river where they float around in tubes from old tyres. It's a place to stay and watch the river world go by. Phitsanulok - gateway to Sukhothai, Chiang Mai and the rest of northern Thailand."
Is Las Palmas worth visiting?,"d dancers. In addition to the main events there are smaller ones like themed nights, a body painting event and a dog show. The carnaval ends with Entierro de La Sardina - ""the funeral of the sardine"" on Saturday before Shrove Sunday. A mock funeral procession goes through the city ending on Las Canteras beach where a boat with a large sardine in it is burned. This is followed by fireworks, song, dance and partying until next dawn. Shrove Tuesday is the time for the ""day carnaval"", Carnaval de Dia, a street masquerade celebrated in the Santa Catalina park and in the streets and squares of Vegueta. Other events Spectator sports Football: Theater Buy Shop in the city centre or in one of the department stores like ""El Corte Ingles"". There's also the Calle Triana, a pedestrianzed shopping street in the north of the old town. There are cheap electronic products and souvenirs for sale everywhere. For food items, Hiperdino is a chain of stores that has a good range of products and set prices. Some of these stores also have a decent selection of wine. Check out Merca"
Describe Bhaktapur.,"of Ganesh is placed in such as so as to catch the first rays of the rising sun. It is a good picnic spot flanked by many attractive landscapes. Do Buy Bhaktapur is a significant pottery centre. You will see it everywhere, drying in the sun, displayed on tables and shelves in front of shops and homes. The city is equally famous for artistic masks made from black clay with colourful decoration. The masks portray various gods and deities and carry special significance in festivals. Thanka, a traditional type of painting, is also created in the city. Metalwork and jewellery can also be found, but there's more selection in Patan's backstreets. Eat Don't leave Bhaktapur without trying some of their famous yogurt with local honey: Juju-dhau, literally the ""King of all yogurt."" It's made from fresh buffalo (or sometimes cow) milk and is set to thicken in clay pots like those Bhaktapur is famous for. Small local restaurants are found on the main road into the city, but they will probably only serve Dhal Bhat Takari (lentils, rice, and mild vegetable curry) or Newari food: Samay Baji - fl"
What can I do in Bingara?,"Things to do: verell, Narrabri, Armidale, and Tamworth. See In and near town Out of Bingara East South West North Do Birdwatching Bushwalking Motocross Horseriding Four-wheel-drive trails Contact the Bingara Tourist Information centre (see Understand) for further information. Events Sports Buy Self-catering Eat Drink Sleep Hotels Motels Accommodation Caravan parks and camping Cope Emergency Fuel and mechanical Public telephones Banks There are no longer branches of the major banks in Bingara. It is advisable to do any necessary banking before departing for Bingara. ATM Services Go next Warialda - north of Bingara: 42 km via Allan Cunningham Road/B95, turn right onto Gwydir Highway (31 min) Yetman - north of Bingara: 124 km via Allan Cunningham Road/B95, Warialda, turn left onto Stephen Street/Warialda Road/B95, through Coolatai, turn right onto Bruxner Highway (1 hr 29 min) Boggabilla - north of Bingara: 184 km via Allan Cunningham Road, Warialda, turn left onto Stephen Street/Warialda Road/B95, through Coolatai, t"
Describe Money.,"trade in practice, while others like the Swazi lilangeni are fully convertible in theory but almost impossible to sell or buy in most of the world. Despite the name, inconvertible currencies can often be purchased at a discount outside the country of origin as people holding onto them want to get rid of them. Finding somebody to buy them is more difficult. State-run shops in some countries will also insist that tourists produce certificates of exchange to prove that their money was obtained from a legitimate source like a local bank at the official (usually poor) exchange rate, and such certificates are also often required if you want to change back any unneeded money within the country. If travelling to a country with an inconvertible currency or one that you can't, in practice, buy or sell in your home country, you should convert all your money to a ""hard"" (widely convertible) currency before leaving the country. Hard currency In many poorer countries with inflationary, unstable, or inconvertible currencies, a foreign hard currency may prove more useful than the local currency."
Describe Dubai.,"em shuttles passengers across the Palm Jumeirah to the Atlantis hotel. It connects with the Dubai Tram. This is not a part of the rest of Transport, and therefore, you will need to buy a separate ticket (15 dirham one-way and 25 dirham return). By tram The latest of Dubai's modern transportation system is the Dubai Tram, which opened on November 12, 2014. It provides commuters with a comfortable transit service around the prime business and leisure districts of Dubai. The Dubai Tram operates for 19 hours daily running for 14.5 km along Al Sufouh Road. It passes around the vibrant Dubai Marina where passengers are treated to breathtaking sights of towering skyscrapers and luxury yachts, and then travels down Jumeirah passing by the iconic Burj Al Arab. The Dubai Tram connects with the Dubai Metro at the Jumeirah Lakes Towers and DAMAC stations, and links with the monorail of Palm Jumeirah. Outside of Europe, the Dubai Tram is the first tram system that uses the state-of-the-art ground-level power supply cable system which eliminates the unsightly and overhead cables. By bus Duba"
Tell me something about Thurso.,"romness ferry passes the Old Man of Hoy As of July 2022, Thurso and its approach roads have 4G from EE, and a basic mobile signal from Three and Vodafone; nothing from O2. 5G has not reached this area. Go next The Orkney Islands lie north, with a choice of three ferry routes: Scrabster--Stromness is best for sights and public transport across Orkney Mainland. From Kirkwall the main town you can take an overnight ferry to Lerwick on Shetland, or return south to Aberdeen. West on A836 follows the wild north coast to Cape Wrath, Durness and Kinlochbervie. Or return south via Wick towards Inverness. North Coast 500 is a 500-mile circuit of the coast passing though Thurso."
Is Finland worth visiting?,". Some trains (at least the IC2s) have ""phone booths"" for you to talk on your mobile phone, to spare others from your conversation. Talking with fellow passengers is no issue, as long as you don't get too loud (or in first class, which is designated a silent compartment). Formally two large pieces of luggage (80x60x40 cm) are allowed for free in the Finnish trains, in addition to small hand luggage, and pram or wheelchair if applicable. Also a ski bag can be taken into your cabin for free. In practice, no one will check the allowance unless you cause trouble. For skis (max 30x30x220 cm), snowboards and other additional luggage (max 60x54x195 cm) transported in the luggage compartment, EUR5/piece is charged. Overnight sleepers are available for long-haul routes and very good value. Pillows, sheets and blankets are provided. The modern sleeper cars to Lapland have 2-berth cabins, some of which can be combined as a pair for a family. There are en suite showers in the upper floor cabins in the modern overnight trains, the base-floor cabins use shared showers. In the 3-berth cabins i"
What are some attractions in Trans-Siberian Railway?,"hina, S7 Airlines offer flight connections into Russia, while MIAT Mongolian Airlines operate to Ulaanbaatar from Beijing, Moscow, Seoul, and Hong Kong in season. Pyongyang is served by one direct train from Moscow every two weeks. The line to Khasan at the border with North Korea branches off from the main line to Vladivostok at Baranovsky, before the train crosses the Tumen River into the North Korean town of Tumangang. Visa information More detailed visa information in the Russia, Mongolia, China and North Korea articles Most travelers will need visas from Russia and China. Mongolia can be visited without a visa by most Western tourists. and for those that need visas, the application process is relatively straightforward, but you must apply at a Mongolian diplomatic mission as there are no eVisas. China has a more cumbersome visa application process. In most cases, you will need to provide a detailed itinerary, including tickets into and out of China, as well as accommodation reservations for each night you plan to stay in China. In most cases, you can only apply for a Chi"
How can I travel to Gurjaani?,"ed for daily life: ATM's of Bank of Georgia (orange terminal) and TBC Bank (blue terminal), pharmacies, a vet and lots of things for your car if you need to fix something. There are several super markets at the main road through the city (SH42). Eat Kakheti is well known for meat and barbecue. It is common using dry branches of grapevine to make a fire, wait for glowing ashes and then put meat skewers on a frame to grill the meat. When the meat is done it's put into bowls and mixed with fresh onions and herbs. It is also common to eat the grilled meat with tremali sauce (a kind of saur plum sauce). Drink There is a small and nice cafe in Ioseb Noneshvili Gamziri since 2022. Sleep Go next Telavi - the capital of Kakheti is a convenient base for exploring the region's wineries, castles, and monasteries Sighnaghi - A restored wine town with an extensive wall and close-by the popular Monastery of St. George at Bodbe (aka Bodbe Convent). Lagodekhi - A pretty border town (next to Azerbaijan) and a nearby nature reserve with subtropical forests. David Gareja Monastery Complex - A 6"
What are some attractions in Jerusalem/Old City?,"ied, and the tomb in the Church of the Holy Sepulchre where he is said to have been buried. There is no historical basis for the 0.25 km (0.16 miles) route, which has changed over the centuries. Nevertheless, pilgrims traditionally walk the route, identifying with Jesus' suffering. Along the route are 14 Stations of the Cross, each connected with a particular story or event. ""Guides"" hanging around the beginning of the Via will give you a tour for a small fee, accompanied by informed commentary, but this is not necessarily the best plan. Paying a token amount to get yourself started is not a bad plan, but if you have a guide book you can likely handle it better on your own from there, due to the crowded and winding nature of the Via through the Old City's narrow streets. Not all the guides are as respectful of the religious sites along the Via Dolorosa as they could be, sometimes walking headlong into occupied churches mid-service. First Station - Jesus is condemned to death. The traditional site of the Roman fortress where this took place lies inside a Muslim college. Second Stati"
What is Sonoma County famous for?,"inning playwright Eugene O'Neill in Danville, and a WWII shipyard, now a national historic site, in Richmond. - The heart of the Bay Area, famous for its scenic beauty and unique culture. - Visitors to Sonoma County's neighbor to the south can see migrating gray whales while strolling the wind-swept beaches of Point Reyes National Seashore, take in the views of the Golden Gate Bridge from the Marin Headlands, or soak in the majesty of the redwoods at Muir Woods National Monument. The county's tiny towns are full of character, and include the artistic enclave of Sausalito, as well as Bolinas, whose reclusive residents are notorious for removing any road sign that points the way into their town."
How can I travel to Greek phrasebook?,"etos/khronos/khronia/ete/khronoi/khronies Days today semera (SEE-meh-ra) yesterday khtes (khtes) tomorrow aurio (AHV-ree-oh) this week aute ten ebdomada (...) last week ten proegoumene ebdomada (...) next week ten epomene ebdomada (...) Sunday Kuriake (kee-ree-ah-KEE) Monday Deutera (dhef-TEH-rah) Tuesday Trite (TREE-tee) Wednesday Tetarte (teh-TAR-tee) Thursday Pempte (PEM-tee) Friday Paraskeue (pah-rah-skeh-VEE) Saturday Sabbato (SAH-vah-toh) Months January Ianouarios (Eea-NOOAH-reeos) February Phebrouarios (fe-VROOAH-reeos) March Martios (MAHR-teeos) April Aprilios (ah-PREE-leeos) May Maios (MAH-yos) June Iounios (ee-OOH-neeos) July Ioulios (ee-OOH-leeos) August Augoustos (AHV-ghoo-stos) September Septembrios (sep-TEHM-vreeos) October Oktobrios (ok-TOH-vreeos) November Noembrios (noh-EM-vreeos) December Dekembrios (the-KHEM-vreeos) Writing Time and Date Date The date in Greek is written in the form of DD/MM/YY. For example Christmas Day of 2009 is written 25.12.09 or 25-12-09 or 25/12/09. Having said that, 9/11 in Greek means"
Is Augsburg worth visiting?,"s. These lines run daily from around 04:30 to 00:30. From Thursday to Sunday there are additional night bus lines to cover the remaining night hours, thus providing (reduced) 24-hour service. See a plan of the AVV lines. With AVV tickets, you can also use every regional train within the Augsburg region (but you can't go to Munich or Ulm with AVV). The BRB rail network operated from Augsburg Hbf is a suburban train connecting suburbs and even more villages to Augsburg's center. A suburban train system (S-Bahn, just like in many other German cities) is planned to follow the BRB and regional routes. You can buy a 24-hr ticket, a single ticket for EUR5.80, or a family ticket for EUR7.40. You must purchase a ticket and stamp it each time you enter a streetcar or bus. Riding without a ticket (German: schwarzfahren, literally ""black riding"") will get you a EUR60 fee and a visit with the police. The Bayern-Ticket (Bavaria Ticket) is valid in Augsburg and you will not be required to purchase additional tickets for using the Augsburg transportation system. By bike With its mostly flat ter"
